Sample	Row	Col	Blank	Project Plate	Project Name	Compressed Plate Name	well_id_96	Well	Sample DNA Concentration	Diluted	Library Well	original_sample_name	replicate	contains_replicates
42.1_Control_Human_Colon.A1	A	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	A1	A1	1.514		A1	42.1_Control_Human_Colon	1	True
42.2_Control_Human_Colon.C1	C	1	False	CMI_pig_host_depletion_14778_P1_diluted	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4_dilution	B1	C1	1.1069	True	C1	42.2_Control_Human_Colon	1	True
42.3_Control_Human_Colon.E1	E	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	C1	E1	4.256		E1	42.3_Control_Human_Colon	1	True
42.4_Control_Human_Colon.G1	G	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	D1	G1	2.533		G1	42.4_Control_Human_Colon	1	True
42.5_Control_Human_Colon.I1	I	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	E1	I1	9.381		I1	42.5_Control_Human_Colon	1	True
42.6_Control_Human_Colon.K1	K	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	F1	K1	1.395		K1	42.6_Control_Human_Colon	1	True
42.7_Control_Human_Colon.M1	M	1	False	CMI_pig_host_depletion_14778_P1_diluted	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4_dilution	G1	M1	1.0429	True	M1	42.7_Control_Human_Colon	1	True
42.8_Control_Human_Colon.O1	O	1	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	H1	O1	3.299		O1	42.8_Control_Human_Colon	1	True
42.9_Control_Human_Colon.A3	A	3	False	CMI_pig_host_depletion_14778_P1_diluted	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4_dilution	A2	A3	3.1206	True	A3	42.9_Control_Human_Colon	1	True
42.10_Control_Human_Colon.C3	C	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	B2	C3	2.123		C3	42.10_Control_Human_Colon	1	True
42.1_ChIP_Human_Colon.E3	E	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	C2	E3	0.727		E3	42.1_ChIP_Human_Colon	1	True
42.2_ChIP_Human_Colon.G3	G	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	D2	G3	0.795		G3	42.2_ChIP_Human_Colon	1	True
42.3_ChIP_Human_Colon.I3	I	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	E2	I3	0.794		I3	42.3_ChIP_Human_Colon	1	True
42.4_ChIP_Human_Colon.K3	K	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	F2	K3	0.744		K3	42.4_ChIP_Human_Colon	1	True
42.5_ChIP_Human_Colon.M3	M	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	G2	M3	0.824		M3	42.5_ChIP_Human_Colon	1	True
42.6_ChIP_Human_Colon.O3	O	3	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	H2	O3	0.727		O3	42.6_ChIP_Human_Colon	1	True
42.7_ChIP_Human_Colon.A5	A	5	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	A3	A5	1.085		A5	42.7_ChIP_Human_Colon	1	True
42.8_ChIP_Human_Colon.C5	C	5	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	B3	C5	0.828		C5	42.8_ChIP_Human_Colon	1	True
42.9_ChIP_Human_Colon.E5	E	5	False	CMI_pig_host_depletion_14778_P1	CMI_pig_host_depletion_14778	Mixed_project_plates,1,2,3,4	C3	E5	0.879		E5	42.9_ChIP_Human_Colon	1	True
