Sample	Row	Col	Blank	Project Plate	Project Name	Compressed Plate Name
3.4.21.RK.ST.1800	A	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.7.21.RK.ST.1800	C	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.1.21.RK.ST.1900	E	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.6.21.RK.ST.1400	G	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.6.21.RK.ST.0730	I	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.7.21.RK.ST.0830	K	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.5.21.RK.ST.0730	M	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.3.21.RK.ST.1400	O	1	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.8.21.RK.ST.1000	A	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.9.21.RK.ST.0750	C	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.9.21.RK.ST.1100	E	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
3.3.21.RK.ST.0720	G	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.19.21.RK.ST.0400	I	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.19.21.RK.ST.0700	K	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.20.21.RK.ST.0545	M	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.29.21.RK.ST.1000	O	3	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.29.21.RK.ST.1030	A	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.25.21.RK.ST.0730	C	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.26.21.RK.ST.0700	E	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.22.21.RK.ST.0530	G	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.16.21.RK.ST.1400	I	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.16.21.RK.ST.0945	K	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.16.21.RK.ST.2200	M	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.27.21.RK.ST.1000	O	5	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.14.21.RK.ST.2300	A	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.23.21.RK.ST.0615	C	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.23.21.RK.ST.1200	E	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.23.21.RK.ST.2300	G	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.28.21.RK.ST.0800	I	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.28.21.RK.ST.1700	K	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.18.21.RK.ST.0900	M	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.20.21.RK.ST.1000	O	7	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.24.21.RK.ST.1400	A	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.15.21.RK.ST.0700	C	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.15.21.RK.ST.2000	E	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.11.21.RK.ST.1430	G	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.11.21.RK.ST.0715	I	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.10.21.RK.ST.1200	K	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.10.21.RK.ST.1800	M	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.9.21.RK.ST.1500	O	9	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.12.21.RK.ST.0730	A	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.8.21.RK.ST.1730	C	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.8.21.RK.ST.0715	E	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.8.21.RK.ST.2000	G	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.7.21.RK.ST.1300	I	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.9.21.RK.ST.0745	K	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.5.21.RK.ST.1830	M	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.4.21.RK.ST.1200	O	11	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.4.21.RK.ST.2230	A	13	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.12.21.RK.ST.1500	C	13	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
2.1.21.RK.ST.1500	E	13	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
